,Apr-25 (mb),2991603593,3005992431,3019858340,3037885950,3051482952,3073819737,3088209048,3102831898,3117565686,3132275148,3146908306
USER 1,2400.3887,3093.0557,3019.7422,1972.8125,1142.1133,2141.1055,1764.2754,2583.5479,3478.874,2928.166,3857.1816,2858.918
USER 2,5574.9648,4848.6201,4312.3359,3083.6797,3273.5664,3329.8457,4309.9053,4022.6113,3498.2227,3686.9004,4597.7607,3213.5391
USER 3,,,,4446.8438,7526.5674,9819.5254,8612.8047,5336.8057,6010.0986,4100.252,6091.3516,9484.8604
USER 4,9497.8066,6011.2852,6418.335,12678.0449,6524.8838,5580.1064,10188.4395,10240,8313.3838,6663.5781,9991.3281,10488.6719
USER 5,,50.6729,,,,,,,,,,
USER 6,1910.4307,2106.7422,2031.5117,3101.042,2576.1055,2756.3447,2758.4121,1931.584,1675.4268,1627.6631,2446.4287,2035.0889
USER 7,2809.5527,1752.1562,1657.1816,171.1904,884.1104,2710.6182,2883.7354,1343.7637,1271.4805,269.8936,1158.0537,376.3672
USER 8,,626.9766,6521.2783,8477.1436,0.4365,0.0254,7.7295,1758.8623,249.1504,84.8428,464.2227,1088.9814
USER 9,1108.8086,2260.6826,3720.9531,825.9863,1559.2012,3109.8584,2138.0947,3064.1621,2746.2666,2345.916,2990.7139,2362.21
USER 10,5411.7051,11222.626,6292.6309,6245.8467,7636.3164,8153.0342,15854.6182,12448.4355,17092.5908,10932.2627,9464.5498,5283.0254
USER 11,,,,,2723.4062,3229.751,2310.3506,2924.5078,4268.9131,1481.1641,1919.6084,2055.082
USER 12,1214.248,2991.5459,3740.9131,2866.4961,6342.1992,8435.3643,4650.2451,4436.5332,2160.1289,3659.4727,3261.1748,2015.8623
USER 13,1842.7734,1620.7197,5342.4756,2726.6738,3213.7744,4826.7617,3441.5664,3388.6426,2562.8672,1699.209,1790.2715,2444.2705
USER 14,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240,10240
USER 15,10240,5427.8232,5216.4805,9490.0625,5548.8164,7540.7207,7493.3809,7808.8066,10240.5078,6223.4453,3211.6064,7298.6133
USER 16,3809.2676,2589.626,2385.6436,2653.3701,2668.9365,3893.2227,4502.1992,2944.3779,3417.1582,5674.2266,3631.1494,1689.6992
USER 17,,,,,,,,,,519.9404,158.0684,
USER 18,2211.5723,1461.0859,952.1992,1301.916,7106.9863,13896.3232,12902.6016,15139.7285,7822.0693,6431.2676,640.3428,1635.2725
USER 19,885.3994,1179.0557,2973.3477,1452.3154,6643.0146,2745.0898,2831.0674,4705.0449,4066.0947,4337.293,2377.6162,4766.8037
USER 20,464.2422,512.3154,621.7695,833.582,1207.8525,886.6211,469.5273,1033.2148,888.5215,1833.707,1354.0068,
USER 21,2778.6846,4147.2959,1954.5137,4481.6865,1778.2168,3432.1836,2300.7041,2578.2422,2518.3877,2512.2109,5975.3613,1765.7686
USER 22,,,,,,,5519.417,7517.5518,8956.3203,6155.583,6618.4609,4825.709
USER 23,2024.6572,3096.7334,2131.8799,5211.8047,4723.292,5099.3652,6489.2832,7192.7744,3351.5664,3999.7354,6013.1709,4294.6719
USER 24,5320.4609,3714.9922,4026.1113,5586.1963,2963.2949,5123.2217,3388.3613,4919.8213,3634.9756,4878.5039,7021.0293,3755.9072
USER 25,6796.5605,4863.9268,10065.5811,10367.2129,6906.2129,10240,10240,8997.2178,7320.8242,4632.2441,7483.9834,3232.3789
USER 26,,,,,,321.959,2013.1318,5067.8848,5583.2207,4823.7441,3147.2402,
USER 27,503.3604,2005.0713,1514.3164,829.3174,1772.7852,3453.5938,764.4199,4580.1074,275.3691,352.4443,402.9502,280.7402
USER 28,24346.7705,23115.1885,17206.3916,27184.2969,19283.7197,27396.127,28145.2197,18379.6748,21712.4209,15296.8428,22487.5498,32941.1484
USER 29,10240,10240,10240,10240,10240,10239.8369,10240,9986.7275,10493.2725,10112.1709,9721.0059,4439.2021
USER 30,1945.4365,,,,,,,,,,,
USER 31,3840.9463,2903.8555,4217.6689,5249.8311,3791.9297,3972.9922,3406.5869,3900.8096,4108.7148,5332.4033,4141.3711,5627.9922
USER 32,9500.4238,10240,6044.4854,9963.6016,10240,8255.8945,10213.5723,10291.5928,5539.1914,7153.8955,3361.8916,8455.5244
USER 33,3460.1895,4350.5879,4934.2656,12298.2578,7422.5557,7807.5771,8878.8662,8379.7842,8623.4951,6817.9307,6158.2803,8259.4219
USER 34,8434.2637,6711.6729,10240,3822.8848,10123.9395,6164.1104,5783.2266,10277.7139,6086.0234,6651.4736,3368.1357,7295.126
USER 35,4259.2646,3373.0381,5083.4844,4848.877,8481.0977,4865.4229,2813.0264,6517.2402,5210.4365,2620.9902,4019.5918,5297.542
USER 36,3723.5332,1257.0117,4312.5361,2015.6387,1827.0332,3042.4727,2585.4404,2838.6377,3934.1143,1959.084,2327.7773,2221.624
USER 37,8208.5762,9439.54,8275.4961,8653.3291,9039.3867,5183.7842,2208.9971,1882.2139,2549.1924,3579.5889,1459.7061,1165.6865
USER 38,2368.1611,2032.3076,3407.8818,10377.7666,10240,10192.4795,3032.1104,3796.415,4138.459,3535.1855,4355.2041,3351.0957
USER 39,,,,,,,,,,,1322.8193,1883.1074
USER 40,105.875,121.3408,324.5312,314.8467,586.9648,217.1182,1054.3418,489.5068,230.1768,163.627,135.5361,301.7178
USER 41,9783.6289,10058.8008,15040.4424,24583.0039,13934.6963,7422.7129,6675.1162,5726.1816,6593.1104,7693.9365,8380.5283,3791.1367
USER 42,,,,,,,,,6175.3232,10240.2646,585.4326,
USER 43,1382.6514,1482.9824,1982.0166,3651.3203,3448.7529,3371.7461,1526.957,1991.3662,1738.208,2380.6816,2655.585,1140.0928
USER 44,394.7852,718.04,398.6445,2044.3193,671.3506,615.9189,786.7402,584.9102,1133.4658,872.2676,683.2158,1150.6768
USER 45,7937.0596,7342.5527,8019.4736,11137.2568,8696.1162,9222.3447,10084.1895,10240,5922.4023,5080.8213,3989.5684,6460.2314
USER 46,3474.8369,4048.6426,4569.251,6247.6055,9077.1045,6363.2178,5435.8145,5040.0811,4910.6465,3993.3301,3460.04,4857.7744
USER 47,16427.1406,15095.7871,12861.457,18223.8418,10062.1465,12201.7178,13384.8203,15377.6035,17569.7949,6655.2168,3517.7949,2715.0723
USER 48,4970.2275,4244.8105,5325.4932,7021.2842,13178.7051,8489.9824,5869.2617,3193.499,6219.8584,5396.2627,5305.7705,3969.1816
USER 49,4762.4336,4169.4141,3552.0352,7412.7861,15315.0156,8339.8887,6335.7842,7029.8545,8842.4277,9924.7979,6697.458,11725.7598
USER 50,1242.085,2694.751,1389.5186,929.3828,631.7412,346.1543,533.583,1330.5586,1582.4902,1032.8438,1250.6768,1658.4893
USER 51,960.3154,1491.3496,5014.4521,644.9492,322.0908,459.082,3463.6162,1795.8389,2125.7295,2780.9307,1811.0195,666.1504
USER 52,3839.6504,3436.3291,6576.7422,3705.1641,3752.916,4621.915,9706.5674,3798.5684,5078.9092,2852.7324,6596.4141,6331.7178
USER 53,2126.4248,3551.6699,1675.0879,3091.123,2976.1191,2307.4717,1378.7334,923.1094,1538.3525,784.6016,1081.7158,1251.0127
